supplier_name,invoice_date,due_date,invoice_number,total_amount,vat,currency_code,ocr_number,message,bank_giro,is_fake
Fintechnology,1998-02-12,1998-03-14,140,59471,11894,SEK,4799547876790,Chickens dress erratic,6655-8131,False
Nicklas Nyckel & Cykel,1995-07-05,1995-08-04,122,97649,19529,SEK,7798514027004,Reading apologise horse whip nasty,1523-7167,False
All You Need - Construction,2004-12-26,2005-01-25,236,19353,3870,SEK,8783333278680,Transport bad taste,1513-3077,False
GUBA,2018-01-14,2018-02-13,89,102396,20479,SEK,1911109205879,Stay scorch current,6232-4322,False
Planetbam,2014-10-07,2014-11-06,67,160117,32023,EUR,8529235214319,Goofy plug squirrel stuff bright mellow faulty demonic,5423-3150,True
stimdexon,2006-09-06,2006-10-06,114,70053,14010,SEK,8772691094904,Tank imminent question desert,4614-9134,False
Volzim,2004-09-28,2004-10-28,61,114517,22903,SEK,4833718304827,Breathe silent pumped innate guttural alcoholic substance,6128-9344,False
MEDinix,1999-03-12,1999-04-11,20,46326,9265,SEK,8455801144419,Deafening,6265-8059,False
dElia,2026-12-19,2027-01-18,161,112715,22543,SEK,8898685935743,Song grotesque soft odd nation tail behavior,4805-5313,False
Vaiajob,2016-10-12,2016-11-11,31,39764,7952,SEK,8904719531746,Quicksand changeable recognise vigorous jog,7973-7110,False
Tonlatline,2012-06-15,2012-07-15,107,73528,14705,SEK,8868713017640,Thinkable bright common,3626-3952,False
Lambam,2013-09-08,2013-10-08,41,82939,16587,SEK,8556745022056,Bikes,7145-9697,False
GotteButiken.nu,2003-04-19,2003-05-19,85,44334,8866,SEK,3014782705147,Kindhearted,4704-4664,False
Management Consultant Shop,2008-04-16,2008-05-16,218,118022,23604,SEK,5385882538069,Gray,6560-7251,False
Soltech,2007-09-02,2007-10-02,188,78950,15790,SEK,6767377809825,Quince unusual,5299-5164,False
Icedexon,2020-09-26,2020-10-26,182,131285,26257,SEK,5303889981687,Flow book,6880-6397,False
Labhouse,1995-09-06,1995-10-06,86,92366,18473,SEK,4940163354924,Zoo,7903-2975,False
Icedexon,2025-02-02,2025-03-04,235,96288,19257,SEK,8557094890986,Gratis caption,6880-6397,False
app.thing,1997-03-10,1997-04-09,91,42379,8475,SEK,3761674842210,Aloof motionless flavor language record alert paddle disappear,6776-6428,False
Sommarkollot,2006-12-25,2007-01-24,59,45793,9158,SEK,1035187394718,Act addicted wrist,3570-1150,False
Cafféet,2010-07-30,2010-08-29,44,65256,13051,SEK,7032646834313,Dusty impulse face skirt obedient argue pocket,4139-2648,False
pyrolith,2003-12-20,2004-01-19,129,83101,16620,SEK,9653234485313,Allow expansion nappy camp obedient crooked,6747-2233,False
Dingtrax,2010-03-23,2010-04-22,34,83825,16765,SEK,6456549005229,Light,7010-9491,False
Basedrill,1999-05-13,1999-06-12,28,79001,15800,SEK,3904412070898,Plastic,4314-7511,False
Avamm,1995-01-28,1995-02-27,84,95398,19079,SEK,0351190367505,Nifty foregoing rebel attack alleged friction stove,7223-8843,False
Asfalt och Betong,2006-01-19,2006-02-18,68,91741,18348,SEK,0532519198354,Glorious parsimonious bubble,1445-1819,False
U - code,2001-08-23,2001-09-22,39,122880,24576,SEK,7244703828191,Lock long,4297-6159,False
Goldredcan,2005-02-13,2005-03-15,5,97025,19405,SEK,9824398946875,Aboard woozy victorious throat near,4362-7363,False
Buttler.ai,2003-12-21,2004-01-20,96,3432450,13729,SEK,6066848074162,Closed steadfast cheap,7383-9359,True
geonti,2028-07-04,2028-08-03,218,99016,19803,SEK,4243671622159,Crazy dysfunctional,5643-6496,False
Guadtrans,2027-04-19,2027-05-19,190,110559,22111,SEK,1934157568311,Train able step grubby,6139-2023,False
Sälj Toppen,2012-10-20,2012-11-19,75,80027,16005,SEK,9745326297935,Hook position,2199-6152,False
Lamtrans,2000-01-23,2000-02-22,54,65219,13043,SEK,0460608298390,Property fresh tease night volatile license,4625-7937,False
dongdexon,1994-10-12,1994-11-11,2,147177,29435,SEK,4949174482111,Risk woebegone zany,7596-4395,False
Fintechnology,1987-08-09,1987-09-08,12,46112,9222,SEK,1448679138537,Prick stain press work develop,6655-8131,False
Blå Boden,1984-04-01,1984-05-01,21,49507,9901,SEK,1451996188698,Sip,7301-1520,False
Cafféet,2019-01-14,2019-02-13,147,67642,13528,SEK,9253941049708,Abundant,4139-2648,False
bamhow,2006-02-20,2006-03-22,144,53861,10772,SEK,7314849661002,Daffy shake search brown statement card,4994-4531,False
MoneyMakers AB,1994-08-02,1994-09-01,43,76112,15222,SEK,6192765303028,Laugh dogs,3366-1125,False
Tonlatline,2015-07-30,2015-08-29,145,107895,21579,SEK,2619275260565,Clean title unit absent superb interest,3626-3952,False
Pelles Pizza,2009-01-09,2009-02-08,3,66101,13220,SEK,4040088003902,Pink snails baseball offend miniature develop thundering explode,2130-5321,False
Gerdas Gardin Sax och Lax,2014-07-24,2014-08-23,89,55287,11057,SEK,7330897858274,Advice walk obnoxious feeble barbarous women,2090-3571,False
MEDinix,2007-04-29,2007-05-29,119,46129,9225,SEK,1901100210903,Vengeful rustic changeable petite fireman,6265-8059,False
Triszamfan,2010-01-28,2010-02-27,36,163322,32664,SEK,7472664786294,Marvelous spark celery grate highfalutin shrug ratty,5884-3566,False
Toys and Stuff,1988-09-30,1988-10-30,29,6250,1250,SEK,7947373269377,Uttermost,5403-2370,False
Goldin,2005-03-06,2005-04-05,171,79869,15973,SEK,5914298394831,Wicked,3689-1927,False
Fintexon,2011-07-13,2011-08-12,198,109351,21870,SEK,9868324523753,Attack ablaze rich whole rinse selfish two,1082-8176,False
Vapor Invoicing,1986-02-06,1986-03-08,71,43481,8696,SEK,4101712936584,Reflective swing,5304-3816,False
Ganzbiolam,1997-02-22,1997-03-24,19,35987,7197,SEK,3769343069339,Burn plant rat present recess account,4625-4918,False
Konbetam,2027-04-07,2027-05-07,204,18935,3787,SEK,4487541902743,Juice tail jellyfish easy wire plain bridge,7277-9556,False
Fintechnology,1995-03-30,1995-04-29,105,52091,10418,SEK,6249876258440,Husky willing crib ceaseless bike trot,6655-8131,False
Blå Boden,1986-07-20,1986-08-19,49,54361,10872,SEK,3693703953918,Drain tart precede,7301-1520,False
Skogstollens Media,2003-11-27,2003-12-27,102,99755,19951,SEK,6265128160580,Breakable hobbies bore butter contain piquant file,2753-6556,False
tankix,2013-03-03,2013-04-02,30,117997,23599,SEK,6471960364609,Attend bee,3957-4249,False
Målarstugan,2010-03-23,2010-04-22,78,52585,10517,SEK,1801246038004,Hospital historical handy hill grandmother need unruly nerve,2673-2214,False
EAcee,2010-06-12,2010-07-12,57,64798,12959,SEK,0651233070192,Peace slow caring unhealthy start absurd,5561-2261,False
Skogstollens Media,2002-01-06,2002-02-05,79,105523,21104,SEK,4444562094900,Black-and-white,2753-6556,False
Konkity,2018-02-11,2018-03-13,57,70366,14073,SEK,0564333658131,Shrug screw oceanic blushing empty rock sponge land,2160-2248,False
Volzim,2012-03-20,2012-04-19,152,118242,23648,SEK,5601588790519,Attack,6128-9344,False
Cleaning you!,1990-05-26,1990-06-25,47,92829,18565,SEK,3353286393285,Foregoing trick mixed handle squeak,5730-7621,False
Tempelectrics,2003-06-23,2003-07-23,9,74760,14952,SEK,7536057584910,Babies hill tug inject fearless matter furry,1706-3207,False
O - tinzap,2020-06-06,2020-07-06,187,126444,25288,SEK,7914878479018,Grease whip profuse position engine willing,5834-8517,False
Nicklas Nyckel & Cykel,1998-01-20,1998-02-19,153,126723,25344,SEK,1223744421519,Delight habitual literate,1523-7167,False
Skogstollens Media,1996-02-07,1996-03-08,7,108739,21747,SEK,6276512192881,Veil grate depressed nappy handsome chivalrous,2753-6556,False
Tonlatline,2007-09-10,2007-10-10,49,106660,21332,SEK,3425518643925,Dusty glistening spill,3626-3952,False
Nicklas Nyckel & Cykel,1992-08-19,1992-09-18,87,132269,26453,SEK,0820355604563,Spicy gusty pear hobbies,1523-7167,False
pyrolith,1995-12-02,1996-01-01,31,57450,11490,SEK,7873178668284,Expensive egg valuable false program,6747-2233,False
Iszataxon,1999-08-24,1999-09-23,8,77016,15403,SEK,4087416220294,Trick statuesque wander one,2687-7910,False
Ganzbiolam,2005-01-11,2005-02-10,115,53553,10710,SEK,8188501193267,Save,4625-4918,False
Sommarkollot,2021-10-07,2021-11-06,239,26087,5217,SEK,8912276827282,Supply sweet fireman free groan,3570-1150,False
Avamm,2000-02-01,2000-03-02,145,75244,15048,SEK,5620540835782,Film vigorous government aback attack conscious sniff,7223-8843,False
Vapor Invoicing,1980-09-05,1980-10-05,5,16663,3332,SEK,6175799867381,Craven,5304-3816,False
stimdexon,2003-07-24,2003-08-23,76,70891,14178,SEK,9705417190027,Boat approval,4614-9134,False
Prombee,1995-05-02,1995-06-01,52,55490,11098,SEK,3417559854669,Tame foamy prepare toothbrush breath sick examine,4183-6099,False
Volzim,2000-02-22,2000-03-23,5,100732,20146,SEK,7087354237075,Mundane unlock powder bored attempt spicy silk round,6128-9344,False
Fintechnology,1988-01-06,1988-02-05,17,42926,8585,SEK,7668136025084,Kill male expand horrible wrist blot watch fertile,6655-8131,False
Nicklas Nyckel & Cykel,1994-01-11,1994-02-10,104,133442,26688,SEK,0899513766191,Nippy borrow conscious box enjoy,1523-7167,False
Goldin,2002-09-18,2002-10-18,141,88795,17759,SEK,3281183325946,Route,3689-1927,False
Guadtrans,2019-07-30,2019-08-29,96,108983,21796,SEK,2138597052626,Scratch street,6139-2023,False
Asfalt och Betong,2015-07-01,2015-07-31,183,93955,18791,SEK,3356027319261,Bustling prickly plucky bury toes,1445-1819,False
Asfalt och Betong,2001-06-14,2001-07-14,12,87199,17439,SEK,8103040073748,Bite flap remind spot add scintillating,1445-1819,False
Cogideo,1993-11-04,1993-12-04,160,61096,12219,SEK,2147370680339,Hurried sail fork incompetent church dust,1846-5740,False
Codetone,1999-03-16,1999-04-15,98,69342,13868,SEK,8009417392928,Tiresome unite fax jelly,2288-8606,False
haytom,2012-09-07,2012-10-07,83,79449,15889,SEK,4413275062140,Imported level deliver pretend preach,5669-6982,False
geonti,2030-07-24,2030-08-23,243,88506,17701,SEK,0336188805103,Best shape willing zesty,5643-6496,False
GotteButiken.nu,2009-09-14,2009-10-14,163,47499,9499,SEK,7977882522263,Handsome literate fetch reign start sea,4704-4664,False
Icedexon,2011-12-13,2012-01-12,75,99698,19939,SEK,2184148655095,Bubble,6880-6397,False
pyrolith,1999-08-13,1999-09-12,76,62476,12495,SEK,8357339958395,Baby,6747-2233,False
MEDinix,2012-02-02,2012-03-03,177,47302,9460,SEK,8374745736299,Hanging scintillating,6265-8059,False
Trisgreen,1982-07-29,1982-08-28,29,78009,15601,SEK,3533127903885,Books violet,1323-3820,False
Dingtrax,2014-07-30,2014-08-29,87,63989,12797,SEK,0900709319546,Trouble spring,7010-9491,False
EAcee,2006-03-05,2006-04-04,5,26211,5242,SEK,4712441009780,License puzzling thin exclusive productive scale believe floor,5561-2261,False
app.thing,1999-01-29,1999-02-28,114,66757,13351,SEK,0901364333202,Thinkable superb daughter outgoing ritzy rest satisfy,6776-6428,False
Målarstugan,2004-02-23,2004-03-24,4,91464,18292,SEK,0936161528059,Encourage gaze middle sophisticated,2673-2214,False
feDHa,2004-12-28,2005-01-27,0,97750,19550,SEK,5046716395080,Plantation,7185-1521,False
Soltech,2003-11-22,2003-12-22,142,76135,15227,SEK,4478809295607,Contain bizarre drip camp ritzy colorful mend spicy,5299-5164,False
Y - corporation,2003-12-04,2004-01-03,66,131079,26215,SEK,6782193393532,Chief touch owe authority plastic auspicious metal,1597-6707,False
Y - corporation,2003-10-05,2003-11-04,64,50999,10199,SEK,2493348299236,Market wound liquid,1597-6707,False
Buttler.ai,2001-12-31,2002-01-30,72,57247,11449,SEK,5070336743594,Legs first craven faint support three,7383-9359,False
Domcan,2004-11-01,2004-12-01,45,80117,16023,SEK,6361410974471,Straight hook fold,3211-9034,False
Condoncare,2016-09-28,2016-10-28,101,103844,20768,SEK,2937177294031,Lock uneven,7853-5747,False
Domcan,2004-02-05,2004-03-06,36,105303,21060,SEK,1245617982384,Second shrug unequaled hour unadvised sharp old-fashioned,3211-9034,False
Y - corporation,2001-09-15,2001-10-15,39,134224,26844,SEK,3979983606882,Defeated,1597-6707,False
Nicklas Nyckel & Cykel,1991-08-25,1991-09-24,75,92199,18439,SEK,3092355925896,Grubby,1523-7167,False
GUBA,2012-09-12,2012-10-12,24,126931,25386,SEK,6337545061673,Spy hot royal ad hoc chase property,6232-4322,False
Subbam,1996-01-13,1996-02-12,140,83514,16702,SEK,0114408218385,Crack stroke metal exist eggnog tacit crazy faint,3105-6583,False
Goldin,2005-04-05,2005-05-05,172,117919,23583,SEK,9208969997964,Lean rake psychedelic ill run aboriginal allow,3689-1927,False
eRörmockeriet,2014-08-05,2014-09-04,9,68850,13770,SEK,0515725617291,Mix,5613-7300,False
Buttler.ai,1996-12-27,1997-01-26,11,66994,13398,SEK,6977270948212,Eye doubtful tow empty inquisitive lamp boy cellar,7383-9359,False
O - tinzap,2010-08-28,2010-09-27,68,93000,18600,SEK,5988131584782,Plane,5834-8517,False
Målarstugan,2013-06-05,2013-07-05,117,86268,17253,SEK,7980762616502,Misty wilderness unused feeling substance dust itchy pail,2673-2214,False
Codetone,1999-12-11,2000-01-10,107,51746,10349,SEK,7576497315244,Scribble toothsome true zany filthy oil gruesome,2288-8606,False
All You Need - Construction,1997-09-04,1997-10-04,147,40654,8130,SEK,0662623828560,Colour cream hall wrap rough,1513-3077,False
All You Need - Construction,1995-12-14,1996-01-13,126,31768,6353,SEK,9139906046575,Debt trucks marked unsuitable kaput burly succinct,1513-3077,False
Funholdings,1988-03-28,1988-04-27,86,80823,16164,SEK,1833954813054,Reject vacuous tame groovy juice null round,4197-1649,False
Avamm,1998-06-11,1998-07-11,125,88783,17756,SEK,6845261731956,Grass wilderness day price colour,7223-8843,False
Sälj Toppen,2025-01-15,2025-02-14,224,74115,14823,SEK,9186135618948,Curve decision humdrum,2199-6152,False
Subbam,2000-12-17,2001-01-16,200,73314,14662,SEK,6827917583528,Wash war rampant bone quixotic spiffy,3105-6583,False
app.thing,2001-01-18,2001-02-17,138,42786,8557,SEK,5134995834076,Machine dust plane tangible tedious needy,6776-6428,False
Ganzbiolam,2006-08-04,2006-09-03,134,37922,7584,SEK,5028896990781,Number broad snobbish post bright,4625-4918,False
Scott's,2018-03-02,2018-04-01,64,70137,14027,SEK,4907667300711,Insect quack,1431-7978,False
rhyive,2005-11-19,2005-12-19,122,105615,21123,SEK,6040301278941,Zinc thick cheerful depend dislike knife,4660-8691,False
Subbam,1995-06-17,1995-07-17,133,77527,15505,SEK,2243972514123,Start,3105-6583,False
EAcee,2011-12-04,2012-01-03,75,39200,7840,SEK,5629201319721,Fast aboard show memory interesting tender purple,5561-2261,False
Faxquote,2006-02-24,2006-03-26,18,84885,16977,SEK,2684227746947,Mundane same oceanic insect,1182-5817,False
Trisgreen,1988-03-29,1988-04-28,98,60700,12140,SEK,9086411186216,Bouncy surround verdant sprout,1323-3820,False
Guadtrans,2017-07-10,2017-08-09,71,94803,18960,SEK,0514511366874,Powder stream,6139-2023,False
app.thing,1994-06-24,1994-07-24,58,39469,7893,SEK,7218075347832,Cowardly various,6776-6428,False
Skogstollens Media,2005-02-19,2005-03-21,117,159634,31926,SEK,4116625195128,Mass aberrant,2753-6556,False
Yakilium,1997-07-16,1997-08-15,15,20775,4155,SEK,1038846201910,Push,4411-2290,False
dongdexon,2000-07-12,2000-08-11,72,74069,14813,SEK,3589187876270,Stranger fetch slippery puffy battle,7596-4395,False
stimdexon,2004-01-20,2004-02-19,82,66108,13221,SEK,9827375233522,Quarter outgoing hobbies,4614-9134,False
Labhouse,1990-04-05,1990-05-05,20,89806,17961,SEK,9423506846075,Bee needless stocking,5712-5502,True
Subbam,1988-12-20,1989-01-19,54,85655,17131,SEK,8546246285336,Aromatic enthusiastic,3105-6583,False
Prombee,1996-08-24,1996-09-23,68,71823,14364,SEK,8299930526645,Camera grandfather boiling rambunctious transport,4183-6099,False
Condoncare,2021-10-02,2021-11-01,162,80883,16176,SEK,0810578954275,Short frame rule nutritious utter shelf,7853-5747,False
Trisgreen,1988-07-27,1988-08-26,102,69681,13936,SEK,9385900388725,Nasty blue crowd voracious memory,1323-3820,False
Konbetam,2017-02-28,2017-03-30,81,18173,3634,SEK,9206194688556,Friends bow dusty,7277-9556,False
Hyper Laser Printer Studio,1993-04-06,1993-05-06,130,23391,4678,SEK,8879255396797,Hill doctor,5554-1742,False
geonti,2017-11-29,2017-12-29,89,88444,17688,SEK,4524055759992,Kiss piquant,5643-6496,False
Basedrill,1999-04-13,1999-05-13,27,82187,16437,SEK,4488466713099,Ultra wool regret club orange flawless health,4314-7511,False
Fintexon,2011-01-14,2011-02-13,192,104461,20892,SEK,5146003241193,Maid smoke,1082-8176,False
Fixviahow,2005-07-02,2005-08-01,26,9845,1969,SEK,1147795982162,Walk combative ordinary complex obscene,5071-6349,False
Cafféet,2008-10-08,2008-11-07,22,67974,13594,SEK,0288338962443,Number tumble purpose fallacious precious government examine,4139-2648,False
Ventotam,1994-02-04,1994-03-06,10,42497,8499,SEK,0786670354152,Hissing,5587-8078,False
O - tinzap,2005-02-25,2005-03-27,1,125316,25063,SEK,1103757028742,Seed tense,5834-8517,False
Hyper Laser Printer Studio,2004-01-09,2004-02-08,261,29513,5902,SEK,0424287754172,Noise jeans weary monkey consist fuel,5554-1742,False
dElia,2029-01-07,2029-02-06,186,85042,17008,SEK,5536361786203,Next pleasant,4805-5313,False
latech,2010-02-22,2010-03-24,25,51208,10241,SEK,3157616814773,Flippant rule mundane rule type,4539-3956,False
Fintechnology,1988-12-01,1988-12-31,28,54590,10918,SEK,2873945586087,Purple shoe puny expand,6655-8131,False
Cleaning you!,1999-11-05,1999-12-05,162,93778,18755,SEK,6354782724731,Weather mushy bucket reading passenger land teeth mix,5730-7621,False
Sommarkollot,2010-04-08,2010-05-08,99,95465,19093,SEK,7208953330398,Self elated many grubby fear,3570-1150,False
geonti,2027-07-10,2027-08-09,206,94239,18847,SEK,9342816982992,Cherry terrible,5643-6496,False
Uniis,2004-10-17,2004-11-16,64,108652,21730,SEK,6821892044374,Pear,4816-2408,False
Avamm,1994-08-01,1994-08-31,78,70604,14120,SEK,8020374486355,Crayon son waiting drip interesting,7223-8843,False
Labhouse,1997-10-25,1997-11-24,112,98043,19608,SEK,4703717630730,Hover hook sky invincible hands fry,7903-2975,False
Klasses,2000-05-24,2000-06-23,76,73325,14665,SEK,9583798519043,Uppity hum pocket elegant,7900-6854,False
tankix,2015-01-22,2015-02-21,53,163304,32660,SEK,7883650086699,Reproduce pricey,3957-4249,False
Dingtrax,2011-12-13,2012-01-12,55,50177,10035,SEK,0294670861920,Ancient dangerous nerve petite society nondescript,7010-9491,False
Konbetam,2025-11-13,2025-12-13,187,43627,8725,SEK,2977657504111,Pale ceaseless mend,7277-9556,False
Fintexon,2009-05-24,2009-06-23,172,118982,23796,SEK,7083801433748,Loutish thirsty save pie,1082-8176,False
Asfalt och Betong,2003-12-31,2004-01-30,43,119515,23903,SEK,7978032111916,Ubiquitous party perform admire,1445-1819,False
geonti,2021-04-12,2021-05-12,130,97033,19406,SEK,9283088709038,Question back,5643-6496,False
Göstas Elfel,2000-08-25,2000-09-24,104,66457,13291,SEK,0093090888061,Nest paste pin risk,6783-2634,False
Triszamfan,2011-09-20,2011-10-20,56,98855,19771,SEK,0684416853787,Ultra precede tramp stale basin mundane race,5884-3566,False
Planetbam,2018-06-18,2018-07-18,112,152361,30472,SEK,9716378234332,Welcome false skip puffy mint responsible,5423-3150,False
Nicklas Nyckel & Cykel,1992-01-22,1992-02-21,80,135252,27050,SEK,4600701693718,Tail malicious efficacious unknown alleged join,1523-7167,False
Dev Invoicing,2004-06-11,2004-07-11,40,81097,16219,SEK,8374411880975,Quirky,1256-4209,False
Faxquote,2011-06-28,2011-07-28,83,87196,17439,SEK,5159273676444,Flash help,1182-5817,False
Pelles Pizza,2014-06-12,2014-07-12,69,65643,13128,SEK,2098212642146,Salty shiny sound can needy grab,2130-5321,False
Dev Invoicing,2006-01-02,2006-02-01,59,82020,16404,SEK,8004865330231,Somber sour,1256-4209,False
Ontosailit,2021-11-20,2021-12-20,143,22946,4589,SEK,6698730634099,Sink girls gray screw snatch key baby,3070-8812,False
Sälj Toppen,2013-02-17,2013-03-19,79,73035,14607,SEK,2475869142994,Wave develop innocent,2199-6152,False
Hyper Laser Printer Studio,1993-11-02,1993-12-02,137,29039,5807,SEK,3918758587208,Door quick rabbits fireman pies wax magnificent melodic,5554-1742,False
Skogstollens Media,2006-12-11,2007-01-10,139,104919,20983,SEK,5893181924492,Wary useless inform,2753-6556,False
GotteButiken.nu,2005-05-08,2005-06-07,110,45845,9169,SEK,0420281356501,Mighty sharp thick,4704-4664,False
app.thing,2003-09-05,2003-10-05,170,62083,12416,SEK,9069617294414,Lucky supreme,6776-6428,False
Management Consultant Shop,2008-07-15,2008-08-14,221,101599,20319,SEK,7930321524564,Greet kiss water arrest curve amusement,6560-7251,False
HMD,2024-01-28,2024-02-27,155,99374,19874,SEK,7496871819580,Group dazzling allow level lunch elated bitter,6664-8304,False
GUBA,2020-12-29,2021-01-28,125,115980,23196,SEK,7529994570712,String common record coal terrible bang appreciate,6232-4322,False
Uniis,2004-03-21,2004-04-20,57,112055,22411,SEK,9499137429457,Rambunctious stick,4816-2408,False
Hyper Laser Printer Studio,1984-10-20,1984-11-19,27,36599,7319,SEK,0184822683589,Gaze abhorrent zinc well-groomed walk remain fax majestic,5554-1742,False
Guadtrans,2019-05-31,2019-06-30,94,120517,24103,SEK,8135798476798,Hideous onerous zealous command,6139-2023,False
Målarstugan,2017-11-11,2017-12-11,171,51047,10209,SEK,4524273106927,Volleyball receptive rest exciting argue gabby balance strange,2673-2214,False
Blå Boden,1986-12-17,1987-01-16,54,58360,11672,SEK,0959101508452,Extra-small introduce guarded,7301-1520,False
Soltech,2012-08-06,2012-09-05,248,76991,15398,SEK,1807865548587,Side release envious,5299-5164,False
bamhow,2003-11-03,2003-12-03,116,66148,13229,SEK,1932508218792,Misty,4994-4531,False
Domcan,2001-09-18,2001-10-18,7,72940,14588,SEK,7493423695543,Petite room carpenter linen permissible deep recess,3211-9034,False
Icedexon,2011-07-16,2011-08-15,70,103294,20658,SEK,2903902211930,Subsequent suffer curve rain plant yard material resonant,6880-6397,False
Management Consultant Shop,2007-03-23,2007-04-22,205,117120,23424,SEK,1067583605157,Lace rigid hushed measure hushed,6560-7251,False
Lamtrans,2000-04-22,2000-05-22,57,74010,14802,SEK,3021444567054,Suggest,4625-7937,False
Y - corporation,2002-05-13,2002-06-12,47,75609,15121,SEK,6891501812982,Sink languid tramp glass sour crooked wash,1597-6707,False
Oyocy,1993-01-17,1993-02-16,6,66916,13383,SEK,7463140963391,Magic point steady drown dinosaurs scary moaning,6146-6876,False
Icedexon,2010-02-21,2010-03-23,53,114600,22920,SEK,4516363471948,Visitor buzz wood ill-fated yummy jewel slave,6880-6397,False
MEDinix,2016-06-10,2016-07-10,230,47957,9591,SEK,1200933142551,Ruddy cheese advertisement pipe curvy volcano marked gigantic,6265-8059,False
Goldin,2003-03-17,2003-04-16,147,66452,13290,SEK,8430776068828,Ladybug ill water terrible grape bawdy,3689-1927,False
Faxquote,2005-10-27,2005-11-26,14,81916,16383,SEK,5891178190416,Spark dusty keen tree sophisticated inquisitive,1182-5817,False
Cityelectronics,1986-10-02,1986-11-01,3,144665,28933,SEK,0572433029285,Vivacious introduce butter aboriginal,1790-1315,False
stimdexon,2013-09-29,2013-10-29,200,67884,13576,SEK,0803160470180,Warlike soothe,4614-9134,False
EAcee,2007-01-29,2007-02-28,16,44148,8829,SEK,8374933747959,Boil ruddy,5561-2261,False
dongdexon,2000-02-13,2000-03-14,67,140875,28175,SEK,2292952054246,Powerful giant decorate describe heat shocking late,7596-4395,False
app.thing,1991-01-11,1991-02-10,16,28817,5763,SEK,8009822667955,Fax weight love hungry sneeze,6776-6428,False
